"GCAM_region_name","year","pop_thous","gdp_pcap_thous2005usd","ns_cal_pcap_day_thous","ns_usd_p1000cal","s_cal_pcap_day_thous","s_usd_p1000cal","s_share","ns_share","clusterID","sig2Qn","sig2Qs","weight"
"Africa_Eastern",1971,47317.83,1.30868741832958,0.838632641649036,0.536561853899404,1.24672918411516,0.180754331911509,0.59784789800604,0.40215210199396,"1.1.1.1",0.0197620998462892,0.0392259916182337,0.0350977048608723
"Africa_Northern",1971,57123.73,1.73032910744444,0.658016568770982,0.805897567415839,1.54202225957584,0.174009123977084,0.700906838419103,0.299093161580897,"1.1.2",0.0115718162352862,0.0519253587832162,0.0423711699393687
"Africa_Southern",1971,47429.64,1.88388123821469,0.514894177775754,0.7204260123141,1.35610547792477,0.214433049632071,0.724802633604457,0.275197366395543,"1.2.1.1.1",0.0223487087885809,0.0221143568710474,0.0351806392300201
"Africa_Western",1971,117689.28,1.65680132413808,0.615373901684164,0.663645239332806,1.25150271825947,0.233030211860497,0.67037248465689,0.32962751534311,"1.2.1.2",0.0104402906292965,0.0213810615099632,0.0872952883665325
"Argentina",1971,24366.44,8.84567831559992,1.684,1.92300101999765,1.151,0.380796700249003,0.405996472663139,0.594003527336861,"2.1",0.115976011349695,0.0645578480990304,0.0180736546800678
"Australia_NZ",1971,16022.4,18.7363696189822,1.98396271719593,2.45864428903627,0.862293658253445,0.593641976130412,0.302957128420066,0.697042871579934,"3.1.1",0.000551007684033221,0.00326653635199318,0.011884515125965
"Brazil",1971,98402.2,4.14756768214367,1.164,1.15137527517519,1.113,0.381495044084728,0.488801054018445,0.511198945981555,"4.1",0.0408247786047779,0.0257788554409238,0.0729892172413766
"Canada",1971,21790.34,18.4364521811098,1.84,2.18118259631838,0.735,0.653759698790232,0.285436893203883,0.714563106796116,"3.2",0.0674890648935274,0.0332021044362201,0.0161628485950869
"Central America and Caribbean",1971,24123.67,3.14194596840522,0.894875154153576,1.29270237092436,1.03520550977525,0.324978265928737,0.53635349502337,0.46364650497663,"4.1",0.0408247786047779,0.0257788554409238,0.0178935815488808
"China",1971,829367.78,0.513671511713495,0.304,0.957912444930434,1.497,0.267835539483197,0.831204886174348,0.168795113825652,"1.3",0.0414992831715945,0.0679871911395769,0.615178370680923
"Colombia",1971,22611.99,3.87541427197139,0.93,1.08039182495537,0.895,0.35326088940798,0.49041095890411,0.50958904109589,"4.1",0.0408247786047779,0.0257788554409238,0.0167723023506572
"EU-12",1971,52922.93,6.1344091796703,1.48243033993016,1.4193969722472,1.56546056784838,0.368997524761715,0.513620931724675,0.486379068275325,"4.1",0.0408247786047779,0.0257788554409238,0.0392552527770738
"EU-15",1971,332684.31,14.9657313318887,1.76498877611631,2.64013458343666,1.00986891578987,0.569986952170913,0.363935389816744,0.636064610183256,"3.1.2",0.113942959941324,0.0670076014220207,0.24676650903524
"European Free Trade Association",1971,10333.43,26.8546362438634,2.08559901794467,4.8065922504938,0.87867739656629,1.07060064759571,0.296422220365455,0.703577779634545,"5",0.231761883755948,0.0253665784260016,0.00766475716110573
"HongKong_Macau",1971,4005.76,9.97815868342328,1.357,2.1773242398634,1.285,0.494670534385856,0.486373959121877,0.513626040878123,"2.2.1",0.143555099898469,0.0868118748950306,0.00297124746049191
"India",1971,566605.4,0.944305088454556,0.538,0.47733825231005,1.313,0.181518581352184,0.709346299297677,0.290653700702323,"1.1.1.2",0.00972403355885203,0.0200349413042611,0.420276016498992
"Indonesia",1971,117921.99,0.920569710462811,0.374,0.511366688064525,1.508,0.192594100524576,0.801275239107333,0.198724760892667,"1.1.1.2",0.00972403355885203,0.0200349413042611,0.0874678995555531
"Japan",1971,105142.88,13.7924320577973,0.959,3.58284829369571,1.403,1.0892764730301,0.593988145639289,0.406011854360711,"6",0.00544223529411765,0.00265974183006537,0.0779890745298784
"Mexico",1971,53719.55,7.10799263978856,1.005,1.55436525152128,1.401,0.332590466472769,0.582294264339152,0.417705735660848,"4.2.1",0.0316581351295785,0.0154136405441763,0.0398461406864785
"Middle East",1971,53471.18,12.7945743493302,0.847553053813288,2.87929000245887,1.2575872647658,0.457251541103602,0.5973888076091,0.4026111923909,"2.1",0.115976011349695,0.0645578480990304,0.0396619137902685
"Pakistan",1971,59690.47,1.23837213093594,0.606,0.614638961397997,1.43,0.150822297393967,0.702357563850688,0.297642436149312,"1.1.3.1",0.0174119417327153,0.0194412231885103,0.0442750333028111
"South Africa",1971,23106.81,8.2939956118135,1.019,1.52773259379596,1.602,0.353619693391695,0.611217092712705,0.388782907287295,"4.2.1",0.0316581351295785,0.0154136405441763,0.0171393319950694
"South America_Northern",1971,12310.42,10.5331114404041,1.13700907198942,1.79391981125825,0.979507763341949,0.536392236788568,0.46279233266226,0.53720766733774,"2.2.2",0.0343814018686936,0.114687395773026,0.0091311771455576
"South America_Southern",1971,39648.97,4.52021755758752,1.00946415304105,1.14712644276692,1.15976148207633,0.318950888823093,0.534643083366279,0.465356916633721,"1.4.1.1",0.000633596313272025,0.0011108901409573,0.0294093758546742
"South Asia",1971,91518.43,0.907207109266713,0.320672799238361,0.500567108747046,1.60314130793109,0.188130238749151,0.833314041079482,0.166685958920518,"1.1.1.2",0.00972403355885203,0.0200349413042611,0.0678832238390983
"South Korea",1971,32087.88,2.86158281995491,0.331,2.28101035293219,2.315,0.377357948762923,0.874905517762661,0.125094482237339,"2.3.1",0.0672920032432746,0.290042094786195,0.0238009845728574
"Southeast Asia",1971,141078.65,1.82604629289965,0.48787607359441,0.878914399198395,1.46589211819081,0.220620781330355,0.750289683471291,0.249710316528709,"1.5.1.1",0.0043999514815568,0.0515004488317125,0.104644207476765
"USA",1971,211357.91,20.6244900269441,1.938,2.53441778567682,0.704,0.65261126300071,0.266464799394398,0.733535200605602,"3.1.3",0.00295574396015823,0.0129932169949107,0.156773409625733
"Africa_Eastern",1972,48780.93,1.27135877587468,0.841010668103294,0.529491259514639,1.25819066118666,0.167088956130253,0.599366360735031,0.400633639264969,"1.1.4.1",0.0408005721113722,0.0254017498125112,0.036182950147521
"Africa_Northern",1972,58330.23,1.79336207607207,0.655032048047813,0.836876703662683,1.56253918697046,0.176030168186917,0.704617358980842,0.295382641019158,"1.5.1.2",0.00766423382261981,0.0173696139903803,0.0432660837787109
"Africa_Southern",1972,48808.1,1.93792295692341,0.509457463822603,0.741982771438117,1.3489822031589,0.213779498256269,0.725868171631276,0.274131828368724,"1.2.1.1.1",0.0223487087885809,0.0221143568710474,0.0362031033253203
"Africa_Western",1972,120472.91,1.66523709473604,0.568818161111905,0.69766886277335,1.16806618160049,0.228330096189969,0.672506598669885,0.327493401330115,"1.2.1.2",0.0104402906292965,0.0213810615099632,0.0893600285328053
"Argentina",1972,24782.95,8.87800037616999,1.672,1.90653955133587,1.08,0.394797504158107,0.392441860465116,0.607558139534884,"2.1",0.115976011349695,0.0645578480990304,0.0183825983710951
"Australia_NZ",1972,16294.71,18.9350212438902,2.02677075750351,2.57046048903574,0.849642305999923,0.577576887990003,0.295382577968503,0.704617422031497,"3.1.3",0.00295574396015823,0.0129932169949107,0.0120864993676486
"Brazil",1972,100844.39,4.53303436511761,1.202,1.21764217617448,1.038,0.3639096977806,0.463392857142857,0.536607142857143,"4.1",0.0408247786047779,0.0257788554409238,0.0748006964202438
"Canada",1972,22142,19.1832247468952,1.854,2.28401520149542,0.747,0.708907074881194,0.28719723183391,0.71280276816609,"3.3",0.114657695840757,0.0438717668696213,0.0164236902036597
"Central America and Caribbean",1972,24734.24,3.27231228680699,0.901960079630504,1.30515654459987,1.01840656757596,0.316817831353967,0.530318816491332,0.469681183508668,"4.1",0.0408247786047779,0.0257788554409238,0.0183464680328321
"China",1972,849787.99,0.519851368349765,0.299,1.03879873124882,1.481,0.257937553165548,0.832022471910112,0.167977528089888,"1.3",0.0414992831715945,0.0679871911395769,0.630324933906181
"Colombia",1972,23146.8,4.07564600965057,0.936,1.11215716892455,0.885,0.349893572684847,0.485996705107084,0.514003294892916,"4.1",0.0408247786047779,0.0257788554409238,0.0171689943277965
"EU-12",1972,53275.94,6.41439799263886,1.51716859843299,1.48671059123762,1.53821886953097,0.381374317077531,0.503444779315013,0.496555220684987,"4.1",0.0408247786047779,0.0257788554409238,0.0395170957397146
"EU-15",1972,334589.91,15.5630137406032,1.76702207762332,2.81818650800782,1.0030378153065,0.597079349047097,0.362099685233021,0.637900314766979,"7.1",0.15786555917712,0.0658045678963736,0.248179975933085
"European Free Trade Association",1972,10412.93,27.6959236255346,2.14114103715285,4.77152361029665,0.891634846292062,1.09059338348293,0.293999583404515,0.706000416595485,"5",0.231761883755948,0.0253665784260016,0.00772372578955804
"HongKong_Macau",1972,4068.41,10.8591891303295,1.364,2.30277097997979,1.335,0.429915475600717,0.494627639866617,0.505372360133383,"2.1",0.115976011349695,0.0645578480990304,0.00301771770668734
"India",1972,579800.63,0.91708165474541,0.507,0.49524918088755,1.347,0.160401970090651,0.726537216828479,0.273462783171521,"1.1.4.2.1",0.0125546989544811,0.0103417880945743,0.43006349593563
"Indonesia",1972,121059.51,0.982124236449758,0.356,0.549780283986131,1.559,0.16978441508763,0.814099216710183,0.185900783289817,"1.1.4.1",0.0408005721113722,0.0254017498125112,0.0897951354189704
"Japan",1972,106616.54,14.7461574638966,1.009,3.63492061480332,1.401,0.928366033708327,0.581327800829875,0.418672199170124,"8",0.179858651382072,0.0374141727105137,0.0790821526305705
"Mexico",1972,55480.13,7.48181421280193,1.021,1.65373874959826,1.399,0.334544847956608,0.578099173553719,0.421900826446281,"4.2.1",0.0316581351295785,0.0154136405441763,0.0411520399051019
"Middle East",1972,55185.09,14.0897291900395,0.87193036180606,2.9825179795035,1.27748715133019,0.459739972110124,0.594341091724979,0.405658908275021,"7.2",0.0580519708254061,0.0306992388402894,0.0409331958278872
"Pakistan",1972,61341.25,1.22200268536376,0.598,0.64032225100502,1.503,0.14411628153076,0.715373631603998,0.284626368396002,"1.1.3.1",0.0174119417327153,0.0194412231885103,0.0454994890572324
"South Africa",1972,23736.49,8.20758302628187,1.031,1.59722479980666,1.652,0.359533388024221,0.615728661945583,0.384271338054417,"4.2.1",0.0316581351295785,0.0154136405441763,0.0176063932021618
"South America_Northern",1972,12657.75,10.5267320097927,1.1101674515613,1.81578720601896,0.945861883826114,0.536579001302884,0.460042990411851,0.539957009588149,"2.2.2",0.0343814018686936,0.114687395773026,0.00938880700367507
"South America_Southern",1972,40534.02,4.54706997919811,1.02552948782282,1.14036479458715,1.13174570718621,0.310045667956899,0.524618143204243,0.475381856795757,"1.4.1.1",0.000633596313272025,0.0011108901409573,0.0300658561642555
"South Asia",1972,93193.04,0.820546298122398,0.307867017644236,0.510706191645518,1.49872118186079,0.165849942456176,0.8295865002724,0.1704134997276,"1.1.4.2.1",0.0125546989544811,0.0103417880945743,0.0691253553471803
"South Korea",1972,32759.45,2.98537588986978,0.315,2.06971313874281,2.375,0.351697738338696,0.882899628252788,0.117100371747212,"2.3.1",0.0672920032432746,0.290042094786195,0.0242991174258098
"Southeast Asia",1972,144850.75,1.87018484556396,0.482417040919705,0.894691255788145,1.47083815782797,0.189682949784842,0.753018939241014,0.246981060758986,"1.5.1.2",0.00766423382261981,0.0173696139903803,0.10744213909167
"USA",1972,213219.52,21.5699528746377,1.94,2.66803007842461,0.696,0.709541196258032,0.264036418816388,0.735963581183611,"9.1.1.1",0.00168150767183015,0.00174730609903016,0.158154247215835
"Africa_Eastern",1973,50297.61,1.25689275884661,0.820480244886387,0.567741856480007,1.25685010162511,0.188103093363316,0.60503140664929,0.39496859335071,"1.1.1.1",0.0197620998462892,0.0392259916182337,0.0373079380645152
"Africa_Northern",1973,59549.16,1.7774232538589,0.657652102565343,0.87201439157239,1.59058365575602,0.221311059136888,0.707480810172516,0.292519189827484,"1.5.1.1",0.0043999514815568,0.0515004488317125,0.0441702174929168
"Africa_Southern",1973,50251.65,1.96406091718238,0.506846005653546,0.790301794878746,1.40679425949198,0.222087366573149,0.73514039452185,0.26485960547815,"1.2.1.1.1",0.0223487087885809,0.0221143568710474,0.037273847521576
"Africa_Western",1973,123373.38,1.68546992087873,0.571225866552412,0.728293187831584,1.22288492363588,0.241567556018859,0.681610595245089,0.318389404754911,"1.2.1.2",0.0104402906292965,0.0213810615099632,0.0915114340393092
"Argentina",1973,25213.39,9.05329411685877,1.627,2.12099428294414,1.081,0.53552565258695,0.399187592319055,0.600812407680945,"2.2.1",0.143555099898469,0.0868118748950306,0.0187018745526173
"Australia_NZ",1973,16542.18,19.4661277433506,1.96268772979136,2.70075307735135,0.804962527308976,0.758599532654495,0.290846910748158,0.709153089251842,"9.1.2",0.1498320219729,0.104458076898553,0.01227005869448
"Brazil",1973,103320.79,5.04551509580924,1.126,1.48839854746741,1.104,0.503896146963846,0.495067264573991,0.504932735426009,"4.3",0.253479694761793,0.0745724680420861,0.0766375506529392
"Canada",1973,22488.74,20.2736847001944,1.846,2.64257795900556,0.757,0.989335560848062,0.290818286592393,0.709181713407607,"9.2",0.0419063482639492,0.0210430901060572,0.0166808824329622
"Central America and Caribbean",1973,25356.24,3.39618471914758,0.92133598080788,1.38857772062879,1.03113826774001,0.376897710039984,0.528118754194529,0.471881245805471,"4.1",0.0408247786047779,0.0257788554409238,0.0188078326478929
"China",1973,869474.82,0.547769983809762,0.303,1.37320429053294,1.542,0.413773012767776,0.835772357723577,0.164227642276423,"4.3",0.253479694761793,0.0745724680420861,0.644927517097045
